prescription_id,image_id,gt_count,p0_tp,p0_fp,p0_fn,p0_precision,p0_recall,p0_f1,p0_confirmed,p1_tp,p1_fp,p1_fn,p1_precision,p1_recall,p1_f1,p1_confirmed,p2_tp,p2_fp,p2_fn,p2_precision,p2_recall,p2_f1,p2_confirmed,p3_tp,p3_fp,p3_fn,p3_precision,p3_recall,p3_f1,p3_confirmed
RX_001,IMG_20260209_181410,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,0,2,0,13,1.0,0.1333,0.2353,0
RX_001,IMG_20260209_181412,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_181415,15,3,2,12,0.6,0.2,0.3,0,3,2,12,0.6,0.2,0.3,0,4,2,11,0.6667,0.2667,0.381,1,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_181417,15,5,1,10,0.8333,0.3333,0.4762,0,5,1,10,0.8333,0.3333,0.4762,0,5,0,10,1.0,0.3333,0.5,1,3,0,12,1.0,0.2,0.3333,0
RX_001,IMG_20260209_181428,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,1,2,0,13,1.0,0.1333,0.2353,1
RX_001,IMG_20260209_181430,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,2,12,0.6,0.2,0.3,1,2,1,13,0.6667,0.1333,0.2222,1
RX_001,IMG_20260209_181434,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,0,11,1.0,0.2667,0.4211,1,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_181437,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,4,0,11,1.0,0.2667,0.4211,1,5,0,10,1.0,0.3333,0.5,1
RX_001,IMG_20260209_181438,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,1,2,1,13,0.6667,0.1333,0.2222,1
RX_001,IMG_20260209_181441,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,2,11,0.6667,0.2667,0.381,1,3,1,12,0.75,0.2,0.3158,1
RX_001,IMG_20260209_181444,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,0,11,1.0,0.2667,0.4211,0
RX_001,IMG_20260209_181447,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,0,12,1.0,0.2,0.3333,1
RX_001,IMG_20260209_181502,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,0,10,1.0,0.3333,0.5,0,4,0,11,1.0,0.2667,0.4211,0
RX_001,IMG_20260209_181536,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,1,12,0.75,0.2,0.3158,1,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_181539,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,3,1,12,0.75,0.2,0.3158,1,3,1,12,0.75,0.2,0.3158,1
RX_001,IMG_20260209_181647,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,1,5,1,10,0.8333,0.3333,0.4762,1
RX_001,IMG_20260209_181650,15,5,0,10,1.0,0.3333,0.5,0,5,0,10,1.0,0.3333,0.5,0,5,1,10,0.8333,0.3333,0.4762,2,4,0,11,1.0,0.2667,0.4211,1
RX_001,IMG_20260209_181940,15,4,1,11,0.8,0.2667,0.4,0,4,1,11,0.8,0.2667,0.4,0,5,0,10,1.0,0.3333,0.5,0,1,0,14,1.0,0.0667,0.125,0
