condition,description,visible_ocr_coverage,precision,recall,f1_score,lookup_confirmed_recall,tp,fp,fn,total_visible_gold
r0,R0: Full-Page Smartphone Capture,0.9051,0.7761,0.7591,0.7675,0.0,104,30,33,137
r1,R1: Medication Table ROI Re-OCR,0.927,0.8074,0.7956,0.8015,0.0,109,26,28,137
